pi1,2014-04-26 15:38:12.369205,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.385104,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.410478,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.432557,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.463172,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.468074,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:12.582772,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.210920,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.216502,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.241062,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.255783,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.270918,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.285658,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:19.290418,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:29.222210,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:29.227505,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:29.242958,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:29.257805,c4:43:8f:57:58:5b
pi1,2014-04-26 15:38:29.272764,c4:43:8f:57:58:5b
